"pipeline","material_id","id","key_sig_score","key_sig_class"
"Original",16,"482CAF685A9",-0.143314330628827,"Negative"
"Original",17,"EAC15515DBB",0.013586001364776,"Positive"
"Original",18,"7CB18E134A3",-0.246552212518336,"Negative"
"Original",19,"BA58C759BED",-0.157031284254742,"Negative"
"Original",20,"AB2CB2089CB",-0.246216609962027,"Negative"
"Original",21,"419F9361E5E",-0.317415837074851,"Negative"
"Original",22,"07579396738",-0.283140048477532,"Negative"
"Original",23,"A6B46197550",-0.392885910013828,"Negative"
"Original",24,"FADE964D051",-0.096083910806386,"Negative"
"Original",25,"01AF94279FA",0.051412788444325,"Positive"
"Original",26,"E4B99F8864C",-0.240019954995576,"Negative"
